Bases	Contigs	Depth	N50
38686714	5	7.25	5013097
38776316	5	7.27	5013097
38822062	5	7.28	5013097
38894366	5	7.29	5013097
38914535	5	7.29	5013097
39013513	5	7.31	5013097
39102707	5	7.33	5013097
39199220	5	7.35	5013097
39336361	5	7.37	5013097
39471165	5	7.40	5013097
39592659	5	7.42	5013097
39623486	5	7.43	5013097
39772124	5	7.45	5013097
39853511	5	7.47	5013097
39982228	5	7.49	5013097
40150916	5	7.52	5013097
40251219	5	7.54	5013097
40423244	5	7.58	5013097
40525123	5	7.59	5013097
40627186	5	7.61	5013097
40721981	5	7.63	5013097
40814654	5	7.65	5013097
41024171	5	7.69	5013097
41068778	5	7.70	5013097
41192102	5	7.72	5013097
41192102	5	7.72	5013097
41333873	5	7.75	5013097
41440392	5	7.77	5013097
41509756	5	7.78	5013097
41623164	5	7.80	5013097
41743849	5	7.82	5013097
41840435	5	7.84	5013097
41893892	5	7.85	5013097
42133219	5	7.90	5013097
42261273	5	7.92	5013097
42393443	5	7.94	5013097
42512316	5	7.97	5013097
42616417	5	7.99	5013097
42778667	5	8.02	5013097
42897467	5	8.04	5013097
42975652	5	8.05	5013097
43020605	5	8.06	5013097
43131065	5	8.08	5013097
43233322	5	8.10	5013097
43322091	5	8.12	5013097
43520100	5	8.16	5013097
43646733	5	8.18	5013097
43765999	5	8.20	5013097
43892531	5	8.23	5013097
44019983	5	8.25	5013097
44139532	5	8.27	5013097
44297977	5	8.30	5013097
44425065	5	8.33	5013097
44561722	5	8.35	5013097
44666777	5	8.37	5013097
44798187	5	8.40	5013097
44918006	5	8.42	5013097
45053460	5	8.44	5013097
45159292	5	8.46	5013097
45275731	5	8.48	5013097
45452871	5	8.52	5013097
45576201	5	8.54	5013097
45707304	5	8.57	5015433
45837968	5	8.59	5015433
45920159	5	8.61	5015433
46108047	5	8.64	5015433
46232126	5	8.66	5015433
46309193	5	8.68	5015433
46432890	5	8.70	5015433
46566544	5	8.73	5015433
46687668	5	8.75	5015433
46713512	5	8.75	5015433
46913372	5	8.79	5015433
47010276	5	8.81	5015433
47115475	5	8.83	5015433
47271993	5	8.86	5015433
47320542	5	8.87	5015433
47484379	5	8.90	5015433
47608493	5	8.92	5015433
47768188	5	8.95	5015433
47865420	5	8.97	5015433
47972127	5	8.99	5015433
48093926	5	9.01	5015433
48135072	5	9.02	5015433
48291470	5	9.05	5015433
48420828	5	9.07	5015433
48520159	5	9.09	5015433
48673089	5	9.12	5015433
48786343	5	9.14	5015433
48896681	5	9.16	5015433
48954315	5	9.17	5015433
49103155	5	9.20	5015433
49261649	5	9.23	5015433
49402953	5	9.26	5015433
49627072	5	9.30	5015433
49640903	5	9.30	5015433
49801071	5	9.33	5015433
49885582	5	9.35	5015433
50026788	5	9.38	5015433
50199918	5	9.41	5015433
50382411	5	9.44	5015433
50472520	5	9.46	5015433
50611316	5	9.48	5015433
50758547	5	9.51	5015433
50875278	5	9.53	5015433
51010253	5	9.56	5015433
51033137	5	9.56	5015433
51141578	5	9.58	5015433
51236748	5	9.60	5015433
51398168	5	9.63	5015433
51510985	5	9.65	5015433
51568654	5	9.66	5015433
51664138	5	9.68	5015433
51855443	5	9.72	5015433
51960211	5	9.74	5015433
52109072	5	9.77	5015433
52192679	5	9.78	5015433
52285813	5	9.80	5015433
52470813	5	9.83	5015433
52607700	5	9.86	5015433
52808736	5	9.90	5015433
52933047	5	9.92	5015433
53108479	5	9.95	5015433
53149800	5	9.96	5015433
53214920	5	9.97	5015433
53274338	5	9.98	5015433
53328329	5	9.99	5015433
53461794	5	10.02	5015433
53567941	5	10.04	5015433
53597928	5	10.04	5015433
53688644	5	10.06	5015433
53767151	5	10.08	5015433
53908858	5	10.10	5015433
54074931	5	10.13	5015433
54159292	5	10.15	5015433
54260057	5	10.17	5015636
54372400	5	10.19	5015636
54558841	5	10.22	5015636
54691085	5	10.25	5015636
54796805	5	10.27	5015636
54984611	5	10.30	5015636
55119391	5	10.33	5015636
55197232	5	10.34	5015636
55330626	5	10.37	5015636
55469294	5	10.40	5015636
55547561	5	10.41	5015636
55728929	5	10.44	5015636
55852038	5	10.47	5015636
55971153	5	10.49	5015636
56021585	5	10.50	5015636
56171439	5	10.53	5015636
56306572	5	10.55	5015636
56511134	5	10.59	5015636
56573236	5	10.60	5015636
56633146	5	10.61	5015636
56754396	5	10.64	5015636
56877329	5	10.66	5015636
56907206	5	10.66	5015636
57017474	5	10.69	5015636
57226097	5	10.72	5015636
57356950	5	10.75	5015636
57478584	5	10.77	5015636
57574212	5	10.79	5015636
57592740	5	10.79	5015636
57700988	5	10.81	5015636
57831580	5	10.84	5015636
57946376	5	10.86	5015636
58017452	5	10.87	5015636
58109023	5	10.89	5015636
58337550	5	10.93	5015636
58420684	5	10.95	5015636
58515354	5	10.97	5015636
58658506	5	10.99	5015636
58763056	5	11.01	5015636
58897397	5	11.04	5015636
58971494	5	11.05	5015636
59095686	5	11.07	5015636
59233020	5	11.10	5015636
59319206	5	11.12	5015636
59409517	5	11.13	5015636
59409517	5	11.13	5015636
59517356	5	11.15	5015636
59698873	5	11.19	5015636
59764103	5	11.20	5015636
59914823	5	11.23	5015636
60001070	5	11.24	5015636
60060128	5	11.26	5015636
60195267	5	11.28	5015636
60195267	5	11.28	5015636
60234255	5	11.29	5015636
60314688	5	11.30	5015636
60385988	5	11.32	5015636
60502751	5	11.34	5015636
60590153	5	11.35	5015636
60800924	5	11.39	5015636
60800924	5	11.39	5015636
60888773	5	11.41	5015636
61047548	5	11.44	5015636
61176614	5	11.46	5015636
61319441	5	11.49	5015636
61449940	5	11.52	5015636
61545298	5	11.53	5015636
61674802	5	11.56	5015636
61719058	5	11.57	5015636
61842396	5	11.59	5015636
61963237	5	11.61	5015636
62074579	5	11.63	5015636
62226035	5	11.66	5015636
62286460	5	11.67	5015636
62439356	5	11.70	5015636
62531430	5	11.72	5015636
62617864	5	11.73	5015636
62781415	5	11.77	5015636
62868421	5	11.78	5015636
62983377	5	11.80	5015636
63066294	5	11.82	5015636
63130140	5	11.83	5015636
63356203	5	11.87	5015636
63441216	5	11.89	5015636
63528671	5	11.91	5015636
63755224	5	11.95	5015636
63850439	5	11.97	5015636
63997526	5	11.99	5015636
64097148	5	12.01	5015636
64225711	5	12.04	5015636
64359128	5	12.06	5015636
64466866	5	12.08	5015636
64518150	5	12.09	5015636
64619053	5	12.11	5015636
64722533	5	12.13	5015636
64759452	5	12.14	5015636
64856251	5	12.15	5015636
64894343	5	12.16	5015636
65121513	5	12.20	5015636
65121513	5	12.20	5015636
65313970	5	12.24	5015636
65430313	5	12.26	5015636
65581187	5	12.29	5015636
65700915	5	12.31	5015636
65777780	5	12.33	5015636
65913676	5	12.35	5015636
65982183	5	12.37	5015636
66130907	5	12.39	5015636
66169264	5	12.40	5015636
66290705	5	12.42	5015636
66387560	5	12.44	5015636
66531875	5	12.47	5015636
66660823	5	12.49	5015636
66729384	5	12.51	5015636
66853007	5	12.53	5015636
66994456	5	12.56	5015636
