Genome,Method,Bases,Contigs,Depth,N50
citrobacter-freundii_CAV1741,npScarf,14467674,12,2.71,840327
citrobacter-freundii_CAV1741,npScarf,14592345,12,2.73,840327
citrobacter-freundii_CAV1741,npScarf,14734477,12,2.76,840327
citrobacter-freundii_CAV1741,npScarf,14788771,12,2.77,840327
citrobacter-freundii_CAV1741,npScarf,14858795,12,2.78,840327
citrobacter-freundii_CAV1741,npScarf,14974638,12,2.81,840327
citrobacter-freundii_CAV1741,npScarf,15151868,12,2.84,840327
citrobacter-freundii_CAV1741,npScarf,15251410,12,2.86,840327
citrobacter-freundii_CAV1741,npScarf,15287138,12,2.86,840327
citrobacter-freundii_CAV1741,npScarf,15317001,12,2.87,840327
citrobacter-freundii_CAV1741,npScarf,15433560,12,2.89,840327
citrobacter-freundii_CAV1741,npScarf,15593308,12,2.92,840327
citrobacter-freundii_CAV1741,npScarf,15741848,11,2.95,840327
citrobacter-freundii_CAV1741,npScarf,15772866,11,2.96,840327
citrobacter-freundii_CAV1741,npScarf,15924484,10,2.98,840327
citrobacter-freundii_CAV1741,npScarf,16068961,10,3.01,840327
citrobacter-freundii_CAV1741,npScarf,16256706,10,3.05,840327
citrobacter-freundii_CAV1741,npScarf,16340233,10,3.06,840327
citrobacter-freundii_CAV1741,npScarf,16528514,10,3.1,840327
citrobacter-freundii_CAV1741,npScarf,16643699,10,3.12,840327
citrobacter-freundii_CAV1741,npScarf,16643699,10,3.12,840327
citrobacter-freundii_CAV1741,npScarf,16804440,10,3.15,840327
citrobacter-freundii_CAV1741,npScarf,16804440,10,3.15,840327
citrobacter-freundii_CAV1741,npScarf,16962095,10,3.18,840327
citrobacter-freundii_CAV1741,npScarf,17078176,10,3.2,840327
citrobacter-freundii_CAV1741,npScarf,17208564,10,3.22,840327
citrobacter-freundii_CAV1741,npScarf,17345738,10,3.25,840327
citrobacter-freundii_CAV1741,npScarf,17435610,10,3.27,840327
citrobacter-freundii_CAV1741,npScarf,17550971,10,3.29,840327
citrobacter-freundii_CAV1741,npScarf,17623269,10,3.3,840327
citrobacter-freundii_CAV1741,npScarf,17623269,10,3.3,840327
citrobacter-freundii_CAV1741,npScarf,17701656,10,3.32,840327
citrobacter-freundii_CAV1741,npScarf,17882110,10,3.35,840327
citrobacter-freundii_CAV1741,npScarf,18007928,10,3.37,840327
citrobacter-freundii_CAV1741,npScarf,18133774,10,3.4,840327
citrobacter-freundii_CAV1741,npScarf,18264037,10,3.42,840327
citrobacter-freundii_CAV1741,npScarf,18370865,10,3.44,840327
citrobacter-freundii_CAV1741,npScarf,18453760,10,3.46,840327
citrobacter-freundii_CAV1741,npScarf,18515692,10,3.47,840327
citrobacter-freundii_CAV1741,npScarf,18567878,10,3.48,840327
citrobacter-freundii_CAV1741,npScarf,18655148,10,3.5,840327
citrobacter-freundii_CAV1741,npScarf,18822839,10,3.53,840327
citrobacter-freundii_CAV1741,npScarf,18883531,10,3.54,840327
citrobacter-freundii_CAV1741,npScarf,19121418,10,3.58,840327
citrobacter-freundii_CAV1741,npScarf,19205768,10,3.6,840327
citrobacter-freundii_CAV1741,npScarf,19236642,10,3.61,840327
citrobacter-freundii_CAV1741,npScarf,19381640,10,3.63,840327
citrobacter-freundii_CAV1741,npScarf,19519567,10,3.66,840327
citrobacter-freundii_CAV1741,npScarf,19702496,10,3.69,840327
citrobacter-freundii_CAV1741,npScarf,19752684,10,3.7,840327
citrobacter-freundii_CAV1741,npScarf,19884445,10,3.73,840327
citrobacter-freundii_CAV1741,npScarf,20067007,10,3.76,840327
citrobacter-freundii_CAV1741,npScarf,20149376,10,3.78,840327
citrobacter-freundii_CAV1741,npScarf,20309402,10,3.81,840327
citrobacter-freundii_CAV1741,npScarf,20414102,10,3.83,840327
citrobacter-freundii_CAV1741,npScarf,20580163,10,3.86,840327
citrobacter-freundii_CAV1741,npScarf,20714883,10,3.88,840327
citrobacter-freundii_CAV1741,npScarf,20757700,10,3.89,840327
citrobacter-freundii_CAV1741,npScarf,20881470,10,3.91,840327
citrobacter-freundii_CAV1741,npScarf,21014547,10,3.94,840327
citrobacter-freundii_CAV1741,npScarf,21095276,10,3.95,840327
citrobacter-freundii_CAV1741,npScarf,21202492,10,3.97,840327
citrobacter-freundii_CAV1741,npScarf,21372373,9,4.01,1241693
citrobacter-freundii_CAV1741,npScarf,21469634,9,4.02,1241693
citrobacter-freundii_CAV1741,npScarf,21536509,9,4.04,1241693
citrobacter-freundii_CAV1741,npScarf,21711955,9,4.07,1241693
citrobacter-freundii_CAV1741,npScarf,21845682,8,4.09,1241693
citrobacter-freundii_CAV1741,npScarf,21995600,8,4.12,1241693
citrobacter-freundii_CAV1741,npScarf,22144070,8,4.15,1241693
citrobacter-freundii_CAV1741,npScarf,22250873,8,4.17,1241693
citrobacter-freundii_CAV1741,npScarf,22283018,8,4.18,1241693
citrobacter-freundii_CAV1741,npScarf,22311538,8,4.18,1241693
citrobacter-freundii_CAV1741,npScarf,22448466,8,4.21,1241693
citrobacter-freundii_CAV1741,npScarf,22548061,8,4.23,1241693
citrobacter-freundii_CAV1741,npScarf,22635941,8,4.24,1241693
citrobacter-freundii_CAV1741,npScarf,22721750,8,4.26,1241693
citrobacter-freundii_CAV1741,npScarf,22853412,8,4.28,1241693
citrobacter-freundii_CAV1741,npScarf,22992596,8,4.31,1241693
citrobacter-freundii_CAV1741,npScarf,23166335,8,4.34,1241693
citrobacter-freundii_CAV1741,npScarf,23226278,8,4.35,1241693
citrobacter-freundii_CAV1741,npScarf,23290254,8,4.36,1241693
citrobacter-freundii_CAV1741,npScarf,23408877,8,4.39,1241693
citrobacter-freundii_CAV1741,npScarf,23521901,8,4.41,1241693
citrobacter-freundii_CAV1741,npScarf,23700942,8,4.44,1241693
citrobacter-freundii_CAV1741,npScarf,23807482,8,4.46,1241693
citrobacter-freundii_CAV1741,npScarf,23868815,8,4.47,1241693
citrobacter-freundii_CAV1741,npScarf,23997069,7,4.5,1241693
citrobacter-freundii_CAV1741,npScarf,24146938,7,4.53,1241693
citrobacter-freundii_CAV1741,npScarf,24238528,7,4.54,1241693
citrobacter-freundii_CAV1741,npScarf,24321312,6,4.56,3768413
citrobacter-freundii_CAV1741,npScarf,24418557,6,4.58,3768213
citrobacter-freundii_CAV1741,npScarf,24470117,6,4.59,3768213
citrobacter-freundii_CAV1741,npScarf,24609435,6,4.61,3768213
citrobacter-freundii_CAV1741,npScarf,24755224,6,4.64,3768213
citrobacter-freundii_CAV1741,npScarf,24853393,6,4.66,3768213
