Bases	Contigs	Depth	N50
65969546	1	14.37	4641175
66067004	1	14.39	4641175
66186126	1	14.41	4641175
66300426	1	14.44	4641175
66513413	1	14.48	4641175
66732685	1	14.53	4641175
66766805	1	14.54	4641175
66798113	1	14.55	4641175
66852434	1	14.56	4641175
67086511	1	14.61	4641175
67317786	1	14.66	4641175
67317786	1	14.66	4641175
67462848	1	14.69	4641175
67598513	1	14.72	4641175
67693408	1	14.74	4641175
67784595	1	14.76	4641175
67947918	1	14.80	4641175
68044747	1	14.82	4641175
68122590	1	14.84	4641175
68300258	1	14.87	4641175
68374461	1	14.89	4641175
68407417	1	14.90	4641175
68683469	1	14.96	4641175
68781518	1	14.98	4641175
68891111	1	15.00	4641175
68929302	1	15.01	4641175
69040341	1	15.03	4641175
69185181	1	15.07	4641175
69294317	1	15.09	4641175
69364632	1	15.11	4641175
69469779	1	15.13	4641175
69550138	1	15.15	4641175
69588790	1	15.15	4641175
69617168	1	15.16	4641175
69777841	1	15.20	4641175
69953745	1	15.23	4641175
69985541	1	15.24	4641175
70032332	1	15.25	4641175
70216393	1	15.29	4641175
70406887	1	15.33	4641175
70623435	1	15.38	4641175
70738089	1	15.40	4641175
70817286	1	15.42	4641175
70855559	1	15.43	4641175
70975621	1	15.46	4641175
70976220	1	15.46	4641175
70993418	1	15.46	4641175
71200932	1	15.51	4641175
71260520	1	15.52	4641175
71399634	1	15.55	4641175
71649709	1	15.60	4641175
71753711	1	15.63	4641175
71912339	1	15.66	4641175
72028368	1	15.69	4641175
72088913	1	15.70	4641175
72167128	1	15.72	4641175
72241307	1	15.73	4641175
72419484	1	15.77	4641175
72475373	1	15.78	4641175
72557042	1	15.80	4641175
72761691	1	15.85	4641175
72850639	1	15.86	4641175
72939938	1	15.88	4641175
73035015	1	15.90	4641175
73176103	1	15.94	4641175
73207396	1	15.94	4641175
73366608	1	15.98	4641175
73479308	1	16.00	4641175
73479308	1	16.00	4641175
73607962	1	16.03	4641175
73819185	1	16.08	4641175
73942517	1	16.10	4641175
74056640	1	16.13	4641175
74056640	1	16.13	4641175
74219212	1	16.16	4641175
74367748	1	16.20	4641175
74511417	1	16.23	4641175
74701331	1	16.27	4641175
74706907	1	16.27	4641175
74807629	1	16.29	4641175
74926935	1	16.32	4641175
74942499	1	16.32	4641175
75179968	1	16.37	4641175
75277671	1	16.39	4641175
75290174	1	16.40	4641175
75560342	1	16.45	4641175
75697651	1	16.48	4641175
75794810	1	16.51	4641175
75874550	1	16.52	4641175
75954940	1	16.54	4641175
76048811	1	16.56	4641175
76243950	1	16.60	4641175
76415673	1	16.64	4641175
76539894	1	16.67	4641175
76679857	1	16.70	4641175
76775875	1	16.72	4641175
76848989	1	16.74	4641175
76979510	1	16.76	4641175
77053949	1	16.78	4641175
77200073	1	16.81	4641175
77373317	1	16.85	4641175
77428031	1	16.86	4641175
77615342	1	16.90	4641175
77717588	1	16.92	4641175
77717588	1	16.92	4641175
77745506	1	16.93	4641175
77856397	1	16.95	4641175
77890814	1	16.96	4641175
78145133	1	17.02	4641175
78276760	1	17.05	4641175
78391086	1	17.07	4641175
78503978	1	17.10	4641175
78575941	1	17.11	4641175
78649564	1	17.13	4641175
78787708	1	17.16	4641175
78928078	1	17.19	4641175
78998134	1	17.20	4641175
79076797	1	17.22	4641175
79186896	1	17.24	4641175
79228047	1	17.25	4641175
79306512	1	17.27	4641175
79569276	1	17.33	4641175
79699368	1	17.36	4641175
79806488	1	17.38	4641175
79893201	1	17.40	4641175
79970935	1	17.42	4641175
80093213	1	17.44	4641175
80185463	1	17.46	4641175
80311778	1	17.49	4641175
80393456	1	17.51	4641175
80451010	1	17.52	4641175
80616633	1	17.56	4641175
80768238	1	17.59	4641175
80938480	1	17.63	4641175
81004716	1	17.64	4641175
81145828	1	17.67	4641175
81221704	1	17.69	4641175
81342483	1	17.71	4641175
81393152	1	17.72	4641175
81402075	1	17.73	4641175
81504166	1	17.75	4641175
81567455	1	17.76	4641175
81774278	1	17.81	4641175
81802629	1	17.81	4641175
81976146	1	17.85	4641175
82160130	1	17.89	4641175
82197534	1	17.90	4641175
82237070	1	17.91	4641175
82368015	1	17.94	4641175
82603180	1	17.99	4641175
82734624	1	18.02	4641175
82818967	1	18.04	4641175
82909436	1	18.06	4641175
82946585	1	18.06	4641175
83062506	1	18.09	4641175
83185834	1	18.12	4641175
83281077	1	18.14	4641175
83415917	1	18.17	4641175
83481815	1	18.18	4641175
83566691	1	18.20	4641175
83609363	1	18.21	4641175
83792684	1	18.25	4641175
83892243	1	18.27	4641175
83993207	1	18.29	4641175
84130637	1	18.32	4641175
84225371	1	18.34	4641175
84389321	1	18.38	4641175
84522853	1	18.41	4641175
84642289	1	18.43	4641175
84798390	1	18.47	4641175
84890927	1	18.49	4641175
85071072	1	18.53	4641175
85103253	1	18.53	4641175
85240754	1	18.56	4641175
85312207	1	18.58	4641175
85395736	1	18.60	4641175
85462409	1	18.61	4641175
85674897	1	18.66	4640951
85867918	1	18.70	4640951
85965474	1	18.72	4640951
86255775	1	18.78	4640951
86415500	1	18.82	4640951
86540259	1	18.85	4640951
86540259	1	18.85	4640951
86641288	1	18.87	4640951
86744884	1	18.89	4640951
86924205	1	18.93	4640951
87011826	1	18.95	4640951
87122194	1	18.97	4640951
87194335	1	18.99	4640951
87409921	1	19.04	4640951
87574845	1	19.07	4640951
87616450	1	19.08	4640951
87625558	1	19.08	4640951
87798480	1	19.12	4640951
87913105	1	19.14	4640951
87929168	1	19.15	4640951
88133910	1	19.19	4640951
88156163	1	19.20	4640951
88273540	1	19.22	4640951
88392191	1	19.25	4640951
88476026	1	19.27	4640951
88496448	1	19.27	4640951
88707866	1	19.32	4640951
88829368	1	19.34	4640951
88953044	1	19.37	4640951
89007352	1	19.38	4640951
89107281	1	19.40	4640951
89283075	1	19.44	4640951
89418139	1	19.47	4640951
