Bases	Contigs	Depth	N50
60491871	7	11.04	5250681
60624280	7	11.06	5250681
60708698	7	11.08	5250681
60799420	7	11.09	5250681
60896191	7	11.11	5250681
60902371	7	11.11	5250681
61121454	7	11.15	5250681
61240302	7	11.18	5250681
61416858	7	11.21	5250681
61501404	7	11.22	5250681
61515822	7	11.23	5250681
61671695	7	11.25	5250681
61885345	7	11.29	5250681
61914330	7	11.30	5250681
62103574	7	11.33	5250681
62187917	7	11.35	5250681
62324457	7	11.37	5250681
62438604	7	11.39	5250681
62583153	7	11.42	5250681
62718033	7	11.44	5250681
62784613	7	11.46	5250681
62871575	7	11.47	5250681
63072495	7	11.51	5250681
63246615	7	11.54	5250681
63324023	7	11.56	5250681
63340813	7	11.56	5250681
63534656	7	11.59	5250681
63643161	7	11.61	5250681
63674831	7	11.62	5250681
63694965	7	11.62	5250681
63908325	7	11.66	5250681
64005919	7	11.68	5250681
64039262	7	11.69	5250681
64214548	7	11.72	5250681
64241194	7	11.72	5250681
64484900	7	11.77	5250681
64547071	7	11.78	5250681
64646850	7	11.80	5250681
64802420	7	11.83	5250681
64899240	7	11.84	5250681
65063359	7	11.87	5250681
65226317	7	11.90	5250681
65267653	7	11.91	5250681
65377874	7	11.93	5250681
65547490	7	11.96	5250681
65590641	7	11.97	5250681
65727138	7	11.99	5250681
65757550	7	12.00	5250681
65931752	7	12.03	5250681
65958623	7	12.04	5250681
65990511	7	12.04	5250681
66114093	7	12.06	5250681
66319373	7	12.10	5250681
66389891	7	12.11	5250681
66495370	7	12.13	5250681
66580589	7	12.15	5250681
66677261	7	12.17	5250681
66726177	7	12.18	5250681
66926637	7	12.21	5250681
67060344	7	12.24	5250681
67203836	7	12.26	5250681
67326798	7	12.29	5250681
67490053	7	12.32	5250681
67625637	7	12.34	5250681
67713295	7	12.36	5250681
67798327	7	12.37	5250681
67934397	7	12.40	5250681
67963054	7	12.40	5250681
68030897	7	12.41	5250681
68073943	7	12.42	5250681
68259496	7	12.46	5250681
68432141	7	12.49	5250681
68463839	7	12.49	5258961
68570615	7	12.51	5258961
68725775	7	12.54	5258961
68799284	7	12.55	5258961
68883392	7	12.57	5258961
69220369	7	12.63	5258961
69305358	7	12.65	5258961
69340632	7	12.65	5258961
69414697	7	12.67	5258961
69720437	7	12.72	5258961
69777351	7	12.73	5258961
69912172	7	12.76	5258961
70061757	7	12.78	5258961
70270108	7	12.82	5258961
70379515	7	12.84	5258961
70481826	7	12.86	5258961
70526047	7	12.87	5258961
70578176	7	12.88	5258961
70661512	7	12.89	5258961
70925038	7	12.94	5258961
71159432	7	12.99	5258961
71270314	7	13.01	5258961
71413504	7	13.03	5258961
71439787	7	13.04	5258961
71537300	7	13.05	5258961
71799011	7	13.10	5258961
71950216	7	13.13	5258961
72120773	7	13.16	5258961
72188740	7	13.17	5258961
72344832	7	13.20	5258961
72486012	7	13.23	5258961
72512179	7	13.23	5258961
72653672	7	13.26	5258961
72793509	7	13.28	5258961
72879398	7	13.30	5258961
73065753	7	13.33	5258961
73223651	7	13.36	5258961
73399154	7	13.39	5258961
73485986	7	13.41	5258961
73679156	7	13.45	5258961
73781865	7	13.46	5258961
73965202	7	13.50	5258961
74017981	7	13.51	5258961
74215417	7	13.54	5258961
74264165	7	13.55	5258961
74324858	7	13.56	5258961
74567031	7	13.61	5258961
74669434	7	13.63	5258961
74710760	7	13.63	5258961
74731292	7	13.64	5258961
74816012	7	13.65	5258961
75012851	7	13.69	5258961
75035592	7	13.69	5258961
75234751	7	13.73	5258961
75367831	7	13.75	5258961
75367831	7	13.75	5258961
75494181	7	13.78	5258961
75627468	7	13.80	5258961
75727149	7	13.82	5258961
75794150	7	13.83	5258961
75990378	7	13.87	5258961
76025643	7	13.87	5258961
76082216	7	13.88	5258961
76273784	7	13.92	5258961
76342190	7	13.93	5258961
76458166	7	13.95	5258961
76545816	7	13.97	5258961
76703391	7	14.00	5258961
76765828	7	14.01	5258961
76797802	7	14.01	5258961
76843581	7	14.02	5258961
77099524	7	14.07	5258961
77143673	7	14.08	5258961
77172298	7	14.08	5258961
77255190	7	14.10	5258961
77352476	7	14.12	5258961
77391322	7	14.12	5258961
77467680	7	14.14	5258961
77607977	7	14.16	5258961
77741962	7	14.19	5258961
77888204	7	14.21	5258961
77920173	7	14.22	5258961
78084048	7	14.25	5258961
78180361	7	14.27	5258961
78262522	7	14.28	5258961
78488629	7	14.32	5258961
78577858	7	14.34	5258961
78676440	7	14.36	5258961
78818745	7	14.38	5258961
78927981	7	14.40	5258961
79010266	7	14.42	5258961
79155544	7	14.44	5258961
79260340	7	14.46	5258961
79386859	7	14.49	5258961
79413236	7	14.49	5258961
79507290	7	14.51	5258961
79597630	7	14.53	5258961
79610116	7	14.53	5258961
79797472	7	14.56	5258961
79951876	7	14.59	5258961
80011993	7	14.60	5258961
80198875	7	14.63	5258961
80293272	7	14.65	5258961
80461576	7	14.68	5258961
80588656	7	14.71	5258961
80672727	7	14.72	5258961
80714203	7	14.73	5258961
80834747	7	14.75	5258961
81010124	7	14.78	5258961
81144253	7	14.81	5258961
81195293	7	14.82	5258961
81273458	7	14.83	5258961
81475726	7	14.87	5258961
81612340	7	14.89	5258961
81612340	7	14.89	5258961
81754021	7	14.92	5258961
81915188	7	14.95	5258961
82032069	7	14.97	5258961
82135280	7	14.99	5258961
82401854	7	15.04	5258961
82512230	7	15.06	5258961
82606716	7	15.07	5258961
82652648	7	15.08	5258961
82719107	7	15.09	5258961
82804555	7	15.11	5258961
82850420	7	15.12	5258961
82936968	7	15.13	5258961
83091813	7	15.16	5258961
83222167	7	15.19	5258961
83287305	7	15.20	5258961
83482027	7	15.23	5258961
83510826	7	15.24	5258961
83619483	7	15.26	5258961
83693303	7	15.27	5258961
83833382	7	15.30	5258961
84030149	7	15.33	5258961
84043530	7	15.34	5258961
84207485	7	15.37	5258961
84210487	7	15.37	5258961
84429572	7	15.41	5258961
84591975	7	15.44	5258961
84610774	7	15.44	5258961
84652472	7	15.45	5258961
84786299	7	15.47	5258961
84884213	7	15.49	5258961
85125276	7	15.53	5258961
85192197	7	15.55	5258961
85311786	7	15.57	5258961
85454433	7	15.59	5258961
85522079	7	15.61	5258961
85599974	7	15.62	5258961
85715343	7	15.64	5258961
85820753	7	15.66	5258961
85954596	7	15.69	5258961
86060911	7	15.70	5258961
86239385	7	15.74	5258961
86395699	7	15.77	5258961
86540419	7	15.79	5258961
86696708	7	15.82	5258961
86856287	7	15.85	5258961
87034206	7	15.88	5258961
87162310	7	15.91	5258961
87312249	7	15.93	5258961
87445984	7	15.96	5258961
87565567	7	15.98	5258961
87643782	7	15.99	5258961
87806544	7	16.02	5258961
87946501	7	16.05	5258961
87946501	7	16.05	5258961
88150398	7	16.09	5258961
88307111	7	16.11	5258961
88400236	7	16.13	5258961
88506762	7	16.15	5258961
88545050	7	16.16	5258961
88573766	7	16.16	5258961
88802897	7	16.20	5258961
88802897	7	16.20	5258961
88843221	7	16.21	5258961
88898294	7	16.22	5258961
89100457	7	16.26	5258961
89118699	7	16.26	5258961
89292080	7	16.29	5258961
89385308	7	16.31	5258961
89439126	7	16.32	5258961
89548025	7	16.34	5258961
89774216	7	16.38	5258961
89889461	7	16.40	5258961
89913637	7	16.41	5258961
89921802	7	16.41	5258961
90107165	7	16.44	5258961
90241627	7	16.47	5258961
90328282	7	16.48	5258961
90537285	7	16.52	5258961
90537285	7	16.52	5258961
90668864	7	16.55	5258961
90700652	7	16.55	5258961
90718941	7	16.55	5258961
90820866	7	16.57	5258961
91031113	7	16.61	5258961
91052347	7	16.62	5258961
91215145	7	16.65	5258961
91290966	7	16.66	5258961
91454719	7	16.69	5258961
91618211	7	16.72	5258961
91740329	7	16.74	5258961
91890566	7	16.77	5258961
92061987	7	16.80	5258961
92227482	7	16.83	5258961
92353340	7	16.85	5258961
92353340	7	16.85	5258961
92450822	7	16.87	5258961
92683364	7	16.91	5258961
92766982	7	16.93	5258961
92865933	7	16.95	5258961
92929146	7	16.96	5258961
93110434	7	16.99	5258961
93151138	7	17.00	5258961
93281729	7	17.02	5258961
93367630	7	17.04	5258961
93459308	7	17.05	5258961
93653648	7	17.09	5258961
93888374	7	17.13	5258961
93931199	7	17.14	5258961
94026649	7	17.16	5258961
94113909	7	17.17	5258961
94138986	7	17.18	5258961
94347050	7	17.22	5258961
94364194	7	17.22	5258961
94552792	7	17.25	5258961
94574671	7	17.26	5258961
94723654	7	17.29	5258961
94756776	7	17.29	5258961
94931665	7	17.32	5258961
95006398	7	17.34	5258961
95130224	7	17.36	5258961
95271018	7	17.39	5258961
95291122	7	17.39	5258961
95388732	7	17.41	5258961
95466127	7	17.42	5258961
95724317	7	17.47	5258961
95764250	7	17.48	5258961
95823491	7	17.49	5258961
95871989	7	17.49	5258961
96044515	7	17.53	5258961
96257276	7	17.57	5258961
96296173	7	17.57	5258961
96338517	7	17.58	5258961
96496419	7	17.61	5258961
96543524	7	17.62	5258961
96553865	7	17.62	5258961
96902781	7	17.68	5258961
96902781	7	17.68	5258961
97048354	7	17.71	5258961
97128132	7	17.72	5258961
97157890	7	17.73	5258961
97201158	7	17.74	5258961
97344777	7	17.76	5258961
97370803	7	17.77	5258961
97461856	7	17.79	5258961
97653168	7	17.82	5258961
97718550	7	17.83	5258961
97845122	7	17.85	5258961
97914285	7	17.87	5258961
98088753	7	17.90	5258961
98109415	7	17.90	5258961
98339271	7	17.95	5258961
98349609	7	17.95	5258961
98441206	7	17.96	5258961
98547974	7	17.98	5258961
98583180	7	17.99	5258961
98765333	7	18.02	5258961
98799721	7	18.03	5258961
98839509	7	18.04	5258961
98942286	7	18.06	5258961
99064269	7	18.08	5258961
99129280	7	18.09	5258961
99274087	7	18.12	5258961
99391276	7	18.14	5258961
99447085	7	18.15	5258961
99506477	7	18.16	5258961
99766996	7	18.21	5258961
99901512	7	18.23	5258961
99989248	7	18.25	5258961
100066257	7	18.26	5258961
100201986	7	18.29	5258961
100298927	7	18.30	5258961
100377444	7	18.32	5258961
100605608	7	18.36	5258961
100734707	7	18.38	5258961
100825701	7	18.40	5258961
100968617	7	18.42	5258961
101133078	7	18.45	5258961
101287458	7	18.48	5258961
101426655	7	18.51	5258961
101561718	7	18.53	5258961
101569744	7	18.53	5258961
101738840	7	18.57	5258961
101874976	7	18.59	5258961
101970657	7	18.61	5258961
102150866	7	18.64	5258961
102197553	7	18.65	5258961
102296782	7	18.67	5258961
102447235	7	18.69	5258961
102447235	7	18.69	5258961
102482790	7	18.70	5258961
102625020	7	18.73	5258961
102757351	7	18.75	5258961
102792370	7	18.76	5258961
102999450	7	18.80	5258961
103107705	7	18.82	5258961
103228123	7	18.84	5258961
103298305	7	18.85	5258961
103298305	7	18.85	5258961
103631137	7	18.91	5258961
103814752	7	18.94	5258961
103896315	7	18.96	5258961
103972034	7	18.97	5258961
103972034	7	18.97	5258961
104008318	7	18.98	5258961
104080443	7	18.99	5258961
104269919	7	19.03	5258961
104307958	7	19.03	5258961
104467747	7	19.06	5258961
104508555	7	19.07	5258961
104575959	7	19.08	5258961
104673199	7	19.10	5258961
104816502	7	19.13	5258961
104988324	7	19.16	5258961
105037221	7	19.17	5258961
105216780	7	19.20	5258961
105238874	7	19.20	5258961
105264903	7	19.21	5258961
105340614	7	19.22	5258961
105402404	7	19.23	5258961
105542849	7	19.26	5258961
105649523	7	19.28	5258961
105695986	7	19.29	5258961
105751461	7	19.30	5258961
105893917	7	19.32	5258961
106023948	7	19.35	5258961
106135362	7	19.37	5258961
106213956	7	19.38	5258961
106277517	7	19.39	5258961
106436417	7	19.42	5258961
106591573	7	19.45	5258963
106703558	7	19.47	5258963
106767147	7	19.48	5258963
106873871	7	19.50	5258963
107026113	7	19.53	5258963
107121933	7	19.55	5258963
107225316	7	19.57	5258963
107280866	7	19.58	5258963
107390488	7	19.60	5258963
107425985	7	19.60	5258963
107546751	7	19.63	5258963
107710984	7	19.66	5258963
107748872	7	19.66	5258963
107802685	7	19.67	5258963
107982375	7	19.70	5258963
108056074	7	19.72	5258963
108254581	7	19.75	5258963
108365349	7	19.77	5258963
108547406	7	19.81	5258963
108642029	7	19.83	5258963
108739608	7	19.84	5258963
108925856	7	19.88	5258963
108981816	7	19.89	5258963
109024123	7	19.89	5258963
109167209	7	19.92	5258963
109275479	7	19.94	5258963
109386840	7	19.96	5258963
109500407	7	19.98	5258963
109602091	7	20.00	5258963
109722187	7	20.02	5258963
109757725	7	20.03	5258963
109927375	7	20.06	5258963
110069167	7	20.09	5258963
110143433	7	20.10	5258963
110172257	7	20.10	5258963
110235852	7	20.12	5258963
110419333	7	20.15	5258963
110577318	7	20.18	5258963
110717081	7	20.20	5258963
110717081	7	20.20	5258963
110824356	7	20.22	5258963
110830188	7	20.22	5258963
110970094	7	20.25	5258963
111116494	7	20.28	5258963
111213809	7	20.29	5258963
111385353	7	20.33	5258963
111514167	7	20.35	5258963
111560578	7	20.36	5258963
111684283	7	20.38	5258963
111912139	7	20.42	5258963
112065714	7	20.45	5258963
112206632	7	20.48	5258963
112279471	7	20.49	5258963
112467249	7	20.52	5258963
112611228	7	20.55	5258963
112790481	7	20.58	5258963
112925357	7	20.61	5258963
113071108	7	20.63	5258963
113149627	7	20.65	5258963
113245150	7	20.67	5258963
113281118	7	20.67	5258963
113425709	7	20.70	5258963
113475921	7	20.71	5258963
113614933	7	20.73	5258963
113743582	7	20.76	5258963
113919082	7	20.79	5258963
114004371	7	20.80	5258963
114064037	7	20.81	5258963
114170887	7	20.83	5258963
114196558	7	20.84	5258963
114415764	7	20.88	5258963
114527178	7	20.90	5258963
114647417	7	20.92	5258963
114795905	7	20.95	5258963
114979149	7	20.98	5258963
115052149	7	20.99	5258963
115340911	7	21.05	5258963
115418885	7	21.06	5258963
115494758	7	21.08	5258963
115607745	7	21.10	5258963
